NMX-A-018-INNTEX-2008	A	INDUSTRIA TEXTIL-TEJIDOS DE CALADA-TELA 65% POLIESTER-35% ACRILICO PARA LA CONFECCION DE ROPA ADMINISTRATIVA Y CASUAL-ESPECIFICACIONES.	http://www.economia-nmx.gob.mx/normas/nmx/2009/nmx-a-018-inntex-2008.pdf	07/01/2009	Definitiva	TEJIDOS	INDUSTRIA TEXTIL	NO APLICA	INSTITUTO NACIONAL DE NORMALIZACIÓN TEXTIL, A. C. (INNTEX).
NMX-A-019-INNTEX-2008	A	INDUSTRIA TEXTIL-TEJIDOS DE CALADA-TELAS LANA 100% Y SUS MEZCLAS CON POLIESTER-ESPECIFICACIONES.	http://www.economia-nmx.gob.mx/normas/nmx/2009/nmx-a-019-inntex-2008.pdf	07/01/2009	Definitiva	TEJIDOS	INDUSTRIA TEXTIL	NO APLICA	INSTITUTO NACIONAL DE NORMALIZACIÓN TEXTIL, A. C. (INNTEX).
NMX-A-024-INNTEX-2012	A	INDUSTRIA TEXTIL-NO TEJIDOS-PAÑALES-DETERMINACIÓN DEL REGRESO DE HUMEDAD Y VELOCIDAD DE ABSORCIÓN EN PAÑALES DESECHABLES PARA BEBÉ-METODO DE PRUEBA (CANCELA A LA NMX-A-024/1-INNTEX-2008).	http://www.economia-nmx.gob.mx/normas/nmx/2000/seleccione.pdf	16/04/2013	Definitiva	PAÑALES	INDUSTRIA TEXTIL	NO APLICA	INSTITUTO NACIONAL DE NORMALIZACIÓN TEXTIL, A. C. (INNTEX).
NMX-A-025-1980	A	INDUSTRIA TEXTIL- PRENDAS DE VESTIR EXTERNAS- TALLAS DE SOMBREROS	http://www.economia-nmx.gob.mx/normas/nmx/1980/nmx-a-025-1980.pdf	23/06/1980	Definitiva	SOMBREROSTALLAS	INDUSTRIA TEXTIL	CTNN DE LA INDUSTRIA TEXTIL Y DEL VESTIDO.	NO APLICA
NMX-A-026-1980	A	INDUSTRIA TEXTIL- PRENDAS DE VESTIR EXTERNAS- TALLAS PARA INFANTES	http://www.economia-nmx.gob.mx/normas/nmx/1980/nmx-a-026-1980.pdf	23/06/1980	Definitiva	TALLAS	INDUSTRIA TEXTIL	CTNN DE LA INDUSTRIA TEXTIL Y DEL VESTIDO.	NO APLICA
NMX-A-028-INNTEX-2014	A	INDUSTRIA TEXTIL-MEMBRANAS TEXTILES PARA ARQUITECTURA-ESPECIFICACIONES.	http://www.economia-nmx.gob.mx/normas/nmx/2000/seleccione.pdf	07/05/2015	Definitiva	TEJIDOS	INDUSTRIA TEXTIL	NO APLICA	INSTITUTO NACIONAL DE NORMALIZACIÓN TEXTIL, A. C. (INNTEX).
NMX-A-029-INNTEX-2010	A	INDUSTRIA TEXTIL-TEJIDOS DE CALADA-TELAS AUTOEXTINGUIBLES-ESPECIFICACIONES.	http://www.economia-nmx.gob.mx/normas/nmx/2000/seleccione.pdf	04/05/2010	Definitiva	TEJIDOS	INDUSTRIA TEXTIL	NO APLICA	INSTITUTO NACIONAL DE NORMALIZACIÓN TEXTIL, A. C. (INNTEX).
NMX-A-033-INNTEX-2009	A	INDUSTRIA DEL VESTIDO-ROPA HOSPITALARIA-SÁBANAS-ESPECIFICACIONES.CANCELA LA NMX-A-033-INNTEX DE 2008	http://www.economia-nmx.gob.mx/normas/nmx/2000/seleccione.pdf	23/12/2009	Definitiva	ROPA	INDUSTRIA TEXTIL	NO APLICA	INSTITUTO NACIONAL DE NORMALIZACIÓN TEXTIL, A. C. (INNTEX).
NMX-A-035-INNTEX-2011	A	INDUSTRIA DEL VESTIDO-COBERTORES PARA USO HOSPITALARIO, COBERTOR PARA CANASTILLA DE BEBE Y COBERTOR PARA USO EN CASO DE CONTINGENCIA Y ASISTENCIA SOCIAL -ESPECIFICACIONES	http://www.economia-nmx.gob.mx/normas/nmx/2000/seleccione.pdf	16/02/2011	Definitiva	COBERTOR	INDUSTRIA TEXTIL	NO APLICA	INSTITUTO NACIONAL DE NORMALIZACIÓN TEXTIL, A. C. (INNTEX).
NMX-A-036-INNTEX-2009	A	INDUSTRIA DEL VESTIDO-TOALLA PARA USO HOSPITALARIO Y TOALLA PARA BAÑO DE CANASTILLA PARA BEBE-ESPECIFICACIONES.	http://www.economia-nmx.gob.mx/normas/nmx/2000/seleccione.pdf	19/10/2009	Definitiva	TOALLA	INDUSTRIA TEXTIL	NO APLICA	INSTITUTO NACIONAL DE NORMALIZACIÓN TEXTIL, A. C. (INNTEX).
NMX-A-038/1-INNTEX-2011	A	INDUSTRIA DEL VESTIDO-VESTUARIO PARA INSTITUCIONES DEL SECTOR SALUD-PARTE 1-FILIPINAS Y CONJUNTO DE FILIPINA CON PANTALON Y ACCESORIOS, PARA USO HOSPITALARIO O MEDICO-ADMINISTRATIVO-ESPECIFICACIONES.	http://www.economia-nmx.gob.mx/normas/nmx/2000/seleccione.pdf	16/02/2011	Definitiva	VESTIDO	INDUSTRIA TEXTIL	NO APLICA	INSTITUTO NACIONAL DE NORMALIZACIÓN TEXTIL, A. C. (INNTEX).
NMX-A-042/1-INNTEX-2009	A	INDUSTRIA TEXTIL-TEJIDOS DE CALADA-GABARDINA-PARTE 1-TELA 100% ALGODÓN-ESPECIFICACIONES	http://www.economia-nmx.gob.mx/normas/nmx/2000/seleccione.pdf	23/12/2009	Definitiva	TEJIDOS	INDUSTRIA TEXTIL	NO APLICA	INSTITUTO NACIONAL DE NORMALIZACIÓN TEXTIL, A. C. (INNTEX).
NMX-A-042/2-INNTEX-2013	A	INDUSTRIA TEXTIL-TEJIDOS DE CALADA-GABARDINA-PARTE 2-MEZCLA POLIÉSTER / ALGODÓN-ESPECIFICACIONES	http://www.economia-nmx.gob.mx/normas/nmx/2000/seleccione.pdf	06/11/2014	Definitiva	GABARDINA	INDUSTRIA TEXTIL	NO APLICA	INSTITUTO NACIONAL DE NORMALIZACIÓN TEXTIL, A. C. (INNTEX).
NMX-A-045-1983	A	INDUSTRIA DEL VESTIDO - PRENDAS DE VESTIR EXTERNAS PARA HOMBRES Y   NIÑOS - REFERENCIAS PARA LA DESIGNACION DE TALLAS	http://www.economia-nmx.gob.mx/normas/nmx/1983/nmx-a-045-1983.pdf	16/02/1983	Definitiva	TALLAS	INDUSTRIA TEXTIL	CTNN DE LA INDUSTRIA TEXTIL Y DEL VESTIDO.	NO APLICA
NMX-A-046-INNTEX-2005	A	INDUSTRIA TEXTIL-FIBRAS TEXTILES-FILAMENTOS CONTINUOS DE POLIAMIDA 6 (NYLON 6), RIGIDOS PARA USO TEXTIL-ESPECIFICACIONES Y TOLERANCIAS (CANCELA A LA NMX-A-046-1994-INNTEX).	http://www.economia-nmx.gob.mx/normas/nmx/2000/seleccione.pdf	17/03/2006	Definitiva	NYLON	INDUSTRIA TEXTIL	NO APLICA	INSTITUTO NACIONAL DE NORMALIZACIÓN TEXTIL, A. C. (INNTEX).
NMX-A-047-INNTEX-2013	A	INDUSTRIA TEXTIL-NO TEJIDOS-PAQUETE MORTAJA- ESPECIFICACIONES (CANCELA A LA NMX-A-047-INNTEX-2009).	http://www.economia-nmx.gob.mx/normas/nmx/2000/seleccione.pdf	25/08/2014	Definitiva	NO TEJIDOS	INDUSTRIA TEXTIL	NO APLICA	INSTITUTO NACIONAL DE NORMALIZACIÓN TEXTIL, A. C. (INNTEX).
NMX-A-049/1-INNTEX-2009	A	INDUSTRIA TEXTIL- AUXILIARES ABSORBENTES DE ORINA  PARTE 1  ENSAYO EN PRODUCTO COMPLETO.	http://www.economia-nmx.gob.mx/normas/nmx/2000/seleccione.pdf	23/12/2009	Definitiva	METODO DE PRUEBA	INDUSTRIA TEXTIL	NO APLICA	INSTITUTO NACIONAL DE NORMALIZACIÓN TEXTIL, A. C. (INNTEX).
NMX-A-051-SCFI-2000	A	PRODUCTOS AGRICOLAS NO INDUSTRIALIZADOS PARA USO INDUSTRIAL-ALGODON  PARA HILAR-(Gossypium spp)-ESPECIFICACIONES (CANCELA A LA  NMX-A-051-1964).	http://www.economia-nmx.gob.mx/normas/nmx/2001/nmx-a-051-scfi-2000.pdf	02/01/2001	Definitiva	ALGODON	INDUSTRIA TEXTIL	CTNN DE PRODUCTOS AGRICOLAS Y PECUARIOSCTNN DE LA INDUSTRIA TEXTIL Y DEL VESTIDO.	NO APLICA
NMX-A-053-1994-INNTEX	A	MÉTODO DE PRUEBA PARA LA LECTURA MICRONAIRE DE LAS FIBRAS DE ALGODON	http://www.economia-nmx.gob.mx/normas/nmx/2000/seleccione.pdf	15/08/1996	Definitiva	ALGODONFIBRAS	INDUSTRIA TEXTIL	NO APLICA	INSTITUTO NACIONAL DE NORMALIZACIÓN TEXTIL, A. C. (INNTEX).
NMX-A-056-1977	A	DETERMINACION DE LA RECUPERACION DE HUMEDAD EN LOS MATERIALES  TEXTILES (HUMEDAD COMERCIAL)	http://www.economia-nmx.gob.mx/normas/nmx/1977/nmx-a-056-1977.pdf	12/05/1977	Definitiva	TELAS	INDUSTRIA TEXTIL	CTNN DE LA INDUSTRIA TEXTIL Y DEL VESTIDO.	NO APLICA
